,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,company,country
70,13.0,8,400.0,190.0,4422,12.5,72,1,chrysler newport royal,chrysler,America
71,19.0,3,70.0,97.0,2330,13.5,72,3,mazda rx2 coupe,mazda,Japan
72,15.0,8,304.0,150.0,3892,12.5,72,1,amc matador (sw),amc,America
73,13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours (sw),chevrolet,America
74,13.0,8,302.0,140.0,4294,16.0,72,1,ford gran torino (sw),ford,America
75,14.0,8,318.0,150.0,4077,14.0,72,1,plymouth satellite custom (sw),plymouth,America
76,18.0,4,121.0,112.0,2933,14.5,72,2,volvo 145e (sw),volvo,Europe
77,22.0,4,121.0,76.0,2511,18.0,72,2,volkswagen 411 (sw),volkswagen,Europe
78,21.0,4,120.0,87.0,2979,19.5,72,2,peugeot 504 (sw),peugeot,Europe
79,26.0,4,96.0,69.0,2189,18.0,72,2,renault 12 (sw),renault,Europe
80,22.0,4,122.0,86.0,2395,16.0,72,1,ford pinto (sw),ford,America
81,28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510 (sw),datsun,Japan
82,23.0,4,120.0,97.0,2506,14.5,72,3,toyouta corona mark ii (sw),toyota,Japan
83,28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw),dodge,America
84,27.0,4,97.0,88.0,2100,16.5,72,3,toyota corolla 1600 (sw),toyota,Japan
85,13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350,buick,America
86,14.0,8,304.0,150.0,3672,11.5,73,1,amc matador,amc,America
87,13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu,chevrolet,America
88,14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino,ford,America
89,15.0,8,318.0,150.0,3777,12.5,73,1,dodge coronet custom,dodge,America
90,12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham,mercury,America
91,13.0,8,400.0,150.0,4464,12.0,73,1,chevrolet caprice classic,chevrolet,America
92,13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd,ford,America
93,14.0,8,318.0,150.0,4237,14.5,73,1,plymouth fury gran sedan,plymouth,America
94,13.0,8,440.0,200.0,4735,11.0,73,1,chrysler new yorker brougham,chrysler,America
95,12.0,8,455.0,200.0,4951,11.0,73,1,buick electra 225 custom,buick,America
96,13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham,amc,America
97,18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant,plymouth,America
98,16.0,6,250.0,100.0,3278,18.0,73,1,chevrolet nova custom,chevrolet,America
99,18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet,amc,America
100,18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick,ford,America
101,23.0,6,198.0,95.0,2904,16.0,73,1,plymouth duster,plymouth,America
102,26.0,4,97.0,46.0,1950,21.0,73,2,volkswagen super beetle,volkswagen,Europe
103,11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala,chevrolet,America
104,12.0,8,400.0,167.0,4906,12.5,73,1,ford country,ford,America
105,13.0,8,360.0,170.0,4654,13.0,73,1,plymouth custom suburb,plymouth,America
106,12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser,oldsmobile,America
107,18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin,amc,America
108,20.0,4,97.0,88.0,2279,19.0,73,3,toyota carina,toyota,Japan
109,21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega,chevrolet,America
110,22.0,4,108.0,94.0,2379,16.5,73,3,datsun 610,datsun,Japan
111,18.0,3,70.0,90.0,2124,13.5,73,3,maxda rx3,mazda,Japan
112,19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto,ford,America
113,21.0,6,155.0,107.0,2472,14.0,73,1,mercury capri v6,mercury,America
114,26.0,4,98.0,90.0,2265,15.5,73,2,fiat 124 sport coupe,fiat,Europe
115,15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s,chevrolet,America
116,16.0,8,400.0,200.0,4278,9.5,73,1,pontiac grand prix,pontiac,America
117,29.0,4,68.0,49.0,1867,19.5,73,2,fiat 128,fiat,Europe
118,24.0,4,116.0,75.0,2158,15.5,73,2,opel manta,opel,Europe
119,20.0,4,114.0,91.0,2582,14.0,73,2,audi 100ls,audi,Europe
120,19.0,4,121.0,112.0,2868,15.5,73,2,volvo 144ea,volvo,Europe
121,15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom,dodge,America
122,24.0,4,121.0,110.0,2660,14.0,73,2,saab 99le,saab,Europe
123,20.0,6,156.0,122.0,2807,13.5,73,3,toyota mark ii,toyota,Japan
124,11.0,8,350.0,180.0,3664,11.0,73,1,oldsmobile omega,oldsmobile,America
125,20.0,6,198.0,95.0,3102,16.5,74,1,plymouth duster,plymouth,America
126,21.0,6,200.0,101.66666666666667,2875,17.0,74,1,ford maverick,ford,America
127,19.0,6,232.0,100.0,2901,16.0,74,1,amc hornet,amc,America
128,15.0,6,250.0,100.0,3336,17.0,74,1,chevrolet nova,chevrolet,America
129,31.0,4,79.0,67.0,1950,19.0,74,3,datsun b210,datsun,Japan
130,26.0,4,122.0,80.0,2451,16.5,74,1,ford pinto,ford,America
131,32.0,4,71.0,65.0,1836,21.0,74,3,toyota corolla 1200,toyota,Japan
132,25.0,4,140.0,75.0,2542,17.0,74,1,chevrolet vega,chevrolet,America
133,16.0,6,250.0,100.0,3781,17.0,74,1,chevrolet chevelle malibu classic,chevrolet,America
134,16.0,6,258.0,110.0,3632,18.0,74,1,amc matador,amc,America
135,18.0,6,225.0,105.0,3613,16.5,74,1,plymouth satellite sebring,plymouth,America
136,16.0,8,302.0,140.0,4141,14.0,74,1,ford gran torino,ford,America
137,13.0,8,350.0,150.0,4699,14.5,74,1,buick century luxus (sw),buick,America
138,14.0,8,318.0,150.0,4457,13.5,74,1,dodge coronet custom (sw),dodge,America
139,14.0,8,302.0,140.0,4638,16.0,74,1,ford gran torino (sw),ford,America
140,14.0,8,304.0,150.0,4257,15.5,74,1,amc matador (sw),amc,America
141,29.0,4,98.0,83.0,2219,16.5,74,2,audi fox,audi,Europe
142,26.0,4,79.0,67.0,1963,15.5,74,2,volkswagen dasher,volkswagen,Europe
143,26.0,4,97.0,78.0,2300,14.5,74,2,opel manta,opel,Europe
144,31.0,4,76.0,52.0,1649,16.5,74,3,toyota corona,toyota,Japan
145,32.0,4,83.0,61.0,2003,19.0,74,3,datsun 710,datsun,Japan
146,28.0,4,90.0,75.0,2125,14.5,74,1,dodge colt,dodge,America
147,24.0,4,90.0,75.0,2108,15.5,74,2,fiat 128,fiat,Europe
148,26.0,4,116.0,75.0,2246,14.0,74,2,fiat 124 tc,fiat,Europe
149,24.0,4,120.0,97.0,2489,15.0,74,3,honda civic,honda,Japan
150,26.0,4,108.0,93.0,2391,15.5,74,3,subaru,subaru,Japan
151,31.0,4,79.0,67.0,2000,16.0,74,2,fiat x1.9,fiat,Europe
152,19.0,6,225.0,95.0,3264,16.0,75,1,plymouth valiant custom,plymouth,America
153,18.0,6,250.0,105.0,3459,16.0,75,1,chevrolet nova,chevrolet,America
154,15.0,6,250.0,72.0,3432,21.0,75,1,mercury monarch,mercury,America
155,15.0,6,250.0,72.0,3158,19.5,75,1,ford maverick,ford,America
156,16.0,8,400.0,170.0,4668,11.5,75,1,pontiac catalina,pontiac,America
157,15.0,8,350.0,145.0,4440,14.0,75,1,chevrolet bel air,chevrolet,America
158,16.0,8,318.0,150.0,4498,14.5,75,1,plymouth grand fury,plymouth,America
159,14.0,8,351.0,148.0,4657,13.5,75,1,ford ltd,ford,America
160,17.0,6,231.0,110.0,3907,21.0,75,1,buick century,buick,America
161,16.0,6,250.0,105.0,3897,18.5,75,1,chevroelt chevelle malibu,chevrolet,America
162,15.0,6,258.0,110.0,3730,19.0,75,1,amc matador,amc,America
163,18.0,6,225.0,95.0,3785,19.0,75,1,plymouth fury,plymouth,America
164,21.0,6,231.0,110.0,3039,15.0,75,1,buick skyhawk,buick,America
165,20.0,8,262.0,110.0,3221,13.5,75,1,chevrolet monza 2+2,chevrolet,America
166,13.0,8,302.0,129.0,3169,12.0,75,1,ford mustang ii,ford,America
167,29.0,4,97.0,75.0,2171,16.0,75,3,toyota corolla,toyota,Japan
168,23.0,4,140.0,83.0,2639,17.0,75,1,ford pinto,ford,America
169,20.0,6,232.0,100.0,2914,16.0,75,1,amc gremlin,amc,America
170,23.0,4,140.0,78.0,2592,18.5,75,1,pontiac astro,pontiac,America
171,24.0,4,134.0,96.0,2702,13.5,75,3,toyota corona,toyota,Japan
172,25.0,4,90.0,71.0,2223,16.5,75,2,volkswagen dasher,volkswagen,Europe
173,24.0,4,119.0,97.0,2545,17.0,75,3,datsun 710,datsun,Japan
174,18.0,6,171.0,97.0,2984,14.5,75,1,ford pinto,ford,America
175,29.0,4,90.0,70.0,1937,14.0,75,2,volkswagen rabbit,volkswagen,Europe
176,19.0,6,232.0,90.0,3211,17.0,75,1,amc pacer,amc,America
177,23.0,4,115.0,95.0,2694,15.0,75,2,audi 100ls,audi,Europe
178,23.0,4,120.0,88.0,2957,17.0,75,2,peugeot 504,peugeot,Europe
179,22.0,4,121.0,98.0,2945,14.5,75,2,volvo 244dl,volvo,Europe
180,25.0,4,121.0,115.0,2671,13.5,75,2,saab 99le,saab,Europe
181,33.0,4,91.0,53.0,1795,17.5,75,3,honda civic cvcc,honda,Japan
182,28.0,4,107.0,86.0,2464,15.5,76,2,fiat 131,fiat,Europe
183,25.0,4,116.0,81.0,2220,16.9,76,2,opel 1900,opel,Europe
184,25.0,4,140.0,92.0,2572,14.9,76,1,capri ii,capri,America
185,26.0,4,98.0,79.0,2255,17.7,76,1,dodge colt,dodge,America
186,27.0,4,101.0,83.0,2202,15.3,76,2,renault 12tl,renault,Europe
187,17.5,8,305.0,140.0,4215,13.0,76,1,chevrolet chevelle malibu classic,chevrolet,America
188,16.0,8,318.0,150.0,4190,13.0,76,1,dodge coronet brougham,dodge,America
189,15.5,8,304.0,120.0,3962,13.9,76,1,amc matador,amc,America
190,14.5,8,351.0,152.0,4215,12.8,76,1,ford gran torino,ford,America
191,22.0,6,225.0,100.0,3233,15.4,76,1,plymouth valiant,plymouth,America
192,22.0,6,250.0,105.0,3353,14.5,76,1,chevrolet nova,chevrolet,America
193,24.0,6,200.0,81.0,3012,17.6,76,1,ford maverick,ford,America
194,22.5,6,232.0,90.0,3085,17.6,76,1,amc hornet,amc,America
195,29.0,4,85.0,52.0,2035,22.2,76,1,chevrolet chevette,chevrolet,America
196,24.5,4,98.0,60.0,2164,22.1,76,1,chevrolet woody,chevrolet,America
197,29.0,4,90.0,70.0,1937,14.2,76,2,vw rabbit,volkswagen,Europe
198,33.0,4,91.0,53.0,1795,17.4,76,3,honda civic,honda,Japan
199,20.0,6,225.0,100.0,3651,17.7,76,1,dodge aspen se,dodge,America
200,18.0,6,250.0,78.0,3574,21.0,76,1,ford granada ghia,ford,America
201,18.5,6,250.0,110.0,3645,16.2,76,1,pontiac ventura sj,pontiac,America
202,17.5,6,258.0,95.0,3193,17.8,76,1,amc pacer d/l,amc,America
203,29.5,4,97.0,71.0,1825,12.2,76,2,volkswagen rabbit,volkswagen,Europe
204,32.0,4,85.0,70.0,1990,17.0,76,3,datsun b-210,datsun,Japan
205,28.0,4,97.0,75.0,2155,16.4,76,3,toyota corolla,toyota,Japan
206,26.5,4,140.0,72.0,2565,13.6,76,1,ford pinto,ford,America
207,20.0,4,130.0,102.0,3150,15.7,76,2,volvo 245,volvo,Europe
208,13.0,8,318.0,150.0,3940,13.2,76,1,plymouth volare premier v8,plymouth,America
209,19.0,4,120.0,88.0,3270,21.9,76,2,peugeot 504,peugeot,Europe
210,19.0,6,156.0,108.0,2930,15.5,76,3,toyota mark ii,toyota,Japan
211,16.5,6,168.0,120.0,3820,16.7,76,2,mercedes-benz 280s,mercedes-benz,Europe
212,16.5,8,350.0,180.0,4380,12.1,76,1,cadillac seville,cadillac,America
213,13.0,8,350.0,145.0,4055,12.0,76,1,chevy c10,chevy,America
214,13.0,8,302.0,130.0,3870,15.0,76,1,ford f108,ford,America
215,13.0,8,318.0,150.0,3755,14.0,76,1,dodge d100,dodge,America
216,31.5,4,98.0,68.0,2045,18.5,77,3,honda accord cvcc,honda,Japan
217,30.0,4,111.0,80.0,2155,14.8,77,1,buick opel isuzu deluxe,buick,America
218,36.0,4,79.0,58.0,1825,18.6,77,2,renault 5 gtl,renault,Europe
219,25.5,4,122.0,96.0,2300,15.5,77,1,plymouth arrow gs,plymouth,America
220,33.5,4,85.0,70.0,1945,16.8,77,3,datsun f-10 hatchback,datsun,Japan
221,17.5,8,305.0,145.0,3880,12.5,77,1,chevrolet caprice classic,chevrolet,America
222,17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobile cutlass supreme,oldsmobile,America
223,15.5,8,318.0,145.0,4140,13.7,77,1,dodge monaco brougham,dodge,America
224,15.0,8,302.0,130.0,4295,14.9,77,1,mercury cougar brougham,mercury,America
225,17.5,6,250.0,110.0,3520,16.4,77,1,chevrolet concours,chevrolet,America
226,20.5,6,231.0,105.0,3425,16.9,77,1,buick skylark,buick,America
227,19.0,6,225.0,100.0,3630,17.7,77,1,plymouth volare custom,plymouth,America
228,18.5,6,250.0,98.0,3525,19.0,77,1,ford granada,ford,America
229,16.0,8,400.0,180.0,4220,11.1,77,1,pontiac grand prix lj,pontiac,America
230,15.5,8,350.0,170.0,4165,11.4,77,1,chevrolet monte carlo landau,chevrolet,America
231,15.5,8,400.0,190.0,4325,12.2,77,1,chrysler cordoba,chrysler,America
232,16.0,8,351.0,149.0,4335,14.5,77,1,ford thunderbird,ford,America
233,29.0,4,97.0,78.0,1940,14.5,77,2,volkswagen rabbit custom,volkswagen,Europe
234,24.5,4,151.0,88.0,2740,16.0,77,1,pontiac sunbird coupe,pontiac,America
235,26.0,4,97.0,75.0,2265,18.2,77,3,toyota corolla liftback,toyota,Japan
236,25.5,4,140.0,89.0,2755,15.8,77,1,ford mustang ii 2+2,ford,America
237,30.5,4,98.0,63.0,2051,17.0,77,1,chevrolet chevette,chevrolet,America
238,33.5,4,98.0,83.0,2075,15.9,77,1,dodge colt m/m,dodge,America
239,30.0,4,97.0,67.0,1985,16.4,77,3,subaru dl,subaru,Japan
240,30.5,4,97.0,78.0,2190,14.1,77,2,volkswagen dasher,volkswagen,Europe
241,22.0,6,146.0,97.0,2815,14.5,77,3,datsun 810,datsun,Japan
242,21.5,4,121.0,110.0,2600,12.8,77,2,bmw 320i,bmw,Europe
243,21.5,3,80.0,110.0,2720,13.5,77,3,mazda rx-4,mazda,Japan
244,43.1,4,90.0,48.0,1985,21.5,78,2,volkswagen rabbit custom diesel,volkswagen,Europe
245,36.1,4,98.0,66.0,1800,14.4,78,1,ford fiesta,ford,America
246,32.8,4,78.0,52.0,1985,19.4,78,3,mazda glc deluxe,mazda,Japan
247,39.4,4,85.0,70.0,2070,18.6,78,3,datsun b210 gx,datsun,Japan
248,36.1,4,91.0,60.0,1800,16.4,78,3,honda civic cvcc,honda,Japan
249,19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobile cutlass salon brougham,oldsmobile,America
250,19.4,8,318.0,140.0,3735,13.2,78,1,dodge diplomat,dodge,America
251,20.2,8,302.0,139.0,3570,12.8,78,1,mercury monarch ghia,mercury,America
252,19.2,6,231.0,105.0,3535,19.2,78,1,pontiac phoenix lj,pontiac,America
253,20.5,6,200.0,95.0,3155,18.2,78,1,chevrolet malibu,chevrolet,America
254,20.2,6,200.0,85.0,2965,15.8,78,1,ford fairmont (auto),ford,America
255,25.1,4,140.0,88.0,2720,15.4,78,1,ford fairmont (man),ford,America
256,20.5,6,225.0,100.0,3430,17.2,78,1,plymouth volare,plymouth,America
257,19.4,6,232.0,90.0,3210,17.2,78,1,amc concord,amc,America
258,20.6,6,231.0,105.0,3380,15.8,78,1,buick century special,buick,America
259,20.8,6,200.0,85.0,3070,16.7,78,1,mercury zephyr,mercury,America
260,18.6,6,225.0,110.0,3620,18.7,78,1,dodge aspen,dodge,America
261,18.1,6,258.0,120.0,3410,15.1,78,1,amc concord d/l,amc,America
262,19.2,8,305.0,145.0,3425,13.2,78,1,chevrolet monte carlo landau,chevrolet,America
263,17.7,6,231.0,165.0,3445,13.4,78,1,buick regal sport coupe (turbo),buick,America
264,18.1,8,302.0,139.0,3205,11.2,78,1,ford futura,ford,America
265,17.5,8,318.0,140.0,4080,13.7,78,1,dodge magnum xe,dodge,America
266,30.0,4,98.0,68.0,2155,16.5,78,1,chevrolet chevette,chevrolet,America
267,27.5,4,134.0,95.0,2560,14.2,78,3,toyota corona,toyota,Japan
268,27.2,4,119.0,97.0,2300,14.7,78,3,datsun 510,datsun,Japan
269,30.9,4,105.0,75.0,2230,14.5,78,1,dodge omni,dodge,America
270,21.1,4,134.0,95.0,2515,14.8,78,3,toyota celica gt liftback,toyota,Japan
271,23.2,4,156.0,105.0,2745,16.7,78,1,plymouth sapporo,plymouth,America
272,23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobile starfire sx,oldsmobile,America
273,23.9,4,119.0,97.0,2405,14.9,78,3,datsun 200-sx,datsun,Japan
274,20.3,5,131.0,103.0,2830,15.9,78,2,audi 5000,audi,Europe
275,17.0,6,163.0,125.0,3140,13.6,78,2,volvo 264gl,volvo,Europe
276,21.6,4,121.0,115.0,2795,15.7,78,2,saab 99gle,saab,Europe
277,16.2,6,163.0,133.0,3410,15.8,78,2,peugeot 604sl,peugeot,Europe
278,31.5,4,89.0,71.0,1990,14.9,78,2,volkswagen scirocco,volkswagen,Europe
279,29.5,4,98.0,68.0,2135,16.6,78,3,honda accord lx,honda,Japan
280,21.5,6,231.0,115.0,3245,15.4,79,1,pontiac lemans v6,pontiac,America
281,19.8,6,200.0,85.0,2990,18.2,79,1,mercury zephyr 6,mercury,America
282,22.3,4,140.0,88.0,2890,17.3,79,1,ford fairmont 4,ford,America
283,20.2,6,232.0,90.0,3265,18.2,79,1,amc concord dl 6,amc,America
284,20.6,6,225.0,110.0,3360,16.6,79,1,dodge aspen 6,dodge,America
285,17.0,8,305.0,130.0,3840,15.4,79,1,chevrolet caprice classic,chevrolet,America
286,17.6,8,302.0,129.0,3725,13.4,79,1,ford ltd landau,ford,America
287,16.5,8,351.0,138.0,3955,13.2,79,1,mercury grand marquis,mercury,America
288,18.2,8,318.0,135.0,3830,15.2,79,1,dodge st. regis,dodge,America
289,16.9,8,350.0,155.0,4360,14.9,79,1,buick estate wagon (sw),buick,America
290,15.5,8,351.0,142.0,4054,14.3,79,1,ford country squire (sw),ford,America
291,19.2,8,267.0,125.0,3605,15.0,79,1,chevrolet malibu classic (sw),chevrolet,America
292,18.5,8,360.0,150.0,3940,13.0,79,1,chrysler lebaron town @ country (sw),chrysler,America
293,31.9,4,89.0,71.0,1925,14.0,79,2,vw rabbit custom,volkswagen,Europe
294,34.1,4,86.0,65.0,1975,15.2,79,3,maxda glc deluxe,mazda,Japan
295,35.7,4,98.0,80.0,1915,14.4,79,1,dodge colt hatchback custom,dodge,America
296,27.4,4,121.0,80.0,2670,15.0,79,1,amc spirit dl,amc,America
297,25.4,5,183.0,77.0,3530,20.1,79,2,mercedes benz 300d,mercedes-benz,Europe
298,23.0,8,350.0,125.0,3900,17.4,79,1,cadillac eldorado,cadillac,America
299,27.2,4,141.0,71.0,3190,22.2,79,2,peugeot 504,peugeot,Europe
300,23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobile cutlass salon brougham,oldsmobile,America
301,34.2,4,105.0,70.0,2200,13.2,79,1,plymouth horizon,plymouth,America
302,34.5,4,105.0,70.0,2150,14.9,79,1,plymouth horizon tc3,plymouth,America
303,31.8,4,85.0,65.0,2020,19.2,79,3,datsun 210,datsun,Japan
304,37.3,4,91.0,69.0,2130,14.7,79,2,fiat strada custom,fiat,Europe
305,28.4,4,151.0,90.0,2670,16.0,79,1,buick skylark limited,buick,America
306,28.8,6,173.0,115.0,2595,11.3,79,1,chevrolet citation,chevrolet,America
307,26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobile omega brougham,oldsmobile,America
308,33.5,4,151.0,90.0,2556,13.2,79,1,pontiac phoenix,pontiac,America
309,41.5,4,98.0,76.0,2144,14.7,80,2,vw rabbit,volkswagen,Europe
310,38.1,4,89.0,60.0,1968,18.8,80,3,toyota corolla tercel,toyota,Japan
311,32.1,4,98.0,70.0,2120,15.5,80,1,chevrolet chevette,chevrolet,America
312,37.2,4,86.0,65.0,2019,16.4,80,3,datsun 310,datsun,Japan
313,28.0,4,151.0,90.0,2678,16.5,80,1,chevrolet citation,chevrolet,America
314,26.4,4,140.0,88.0,2870,18.1,80,1,ford fairmont,ford,America
315,24.3,4,151.0,90.0,3003,20.1,80,1,amc concord,amc,America
316,19.1,6,225.0,90.0,3381,18.7,80,1,dodge aspen,dodge,America
317,34.3,4,97.0,78.0,2188,15.8,80,2,audi 4000,audi,Europe
318,29.8,4,134.0,90.0,2711,15.5,80,3,toyota corona liftback,toyota,Japan
319,31.3,4,120.0,75.0,2542,17.5,80,3,mazda 626,mazda,Japan
320,37.0,4,119.0,92.0,2434,15.0,80,3,datsun 510 hatchback,datsun,Japan
321,32.2,4,108.0,75.0,2265,15.2,80,3,toyota corolla,toyota,Japan
322,46.25,4,86.0,65.0,2110,17.9,80,3,mazda glc,mazda,Japan
323,27.9,4,156.0,105.0,2800,14.4,80,1,dodge colt,dodge,America
324,40.8,4,85.0,65.0,2110,19.2,80,3,datsun 210,datsun,Japan
325,44.3,4,90.0,48.0,2085,21.7,80,2,vw rabbit c (diesel),volkswagen,Europe
326,43.4,4,90.0,48.0,2335,22.2,80,2,vw dasher (diesel),volkswagen,Europe
